Calculation of level 2 drainage area

ID       Inlet 1  Inlet 2  Inlet 3  Outlet   Slope    Rainwater  Capacity     Fill pstg    House num    Roof area    Roof water   RWH ctrbt   
(-)      (-)      (-)      (-)      (-)      (10^-3)  (m^3/sec)  (m^3/sec)    (-)          (-)          (m^2)        (m^3/sec)    (-)         
  50      nan      nan      nan       nan    102.0      0.145      0.218          67%            8        625.60       0.0099           7%
  51       48       49       50       nan     66.0      0.361      0.703          51%            7        536.07       0.0085           2%
  52       47       51      nan        54     43.6      0.900      1.856          48%           45       3194.67       0.0507           6%
  53      nan      nan      nan       nan     50.3      0.117      0.153          76%            8        831.51       0.0132          11%
  54       45       52       53       nan      4.7      6.215      6.071         102%            8        534.02       0.0085           0%
  55       54      nan      nan        58      9.3      6.197     20.674          30%            2        247.86       0.0039           0%
  56      nan      nan      nan       nan     31.4      0.278      0.342          81%           23       2351.11       0.0373          13%
  57       56      nan      nan       nan     26.9      0.305      0.364          84%            3        436.77       0.0069           2%
  58       55       57      nan       nan      9.3      6.516     20.674          32%           10        754.90       0.0120           0%
  59       58      nan      nan        69     14.8      6.499     36.396          18%            7        462.20       0.0073           0%
  60      nan      nan      nan       nan     11.1      0.112      0.125          90%           11        631.77       0.0100           9%
  61       60      nan      nan        68     39.5      0.135      1.767           8%            6        431.95       0.0069           5%
  62      nan      nan      nan        64      8.5      0.067      0.126          53%           12        773.16       0.0123          18%
  63      nan      nan      nan       nan     58.1      0.034      0.188          18%            6        297.68       0.0047          14%
  64       62       63      nan        66      7.6      0.111      0.119          93%            3        163.95       0.0026           2%
  65      nan      nan      nan       nan     53.2      0.083      0.157          53%           11        744.05       0.0118          14%
  66       64       65      nan        68     30.3      0.199      0.238          84%            1         82.23       0.0013           1%
  67      nan      nan      nan       nan     88.0      0.028      0.202          14%            7        655.08       0.0104          37%
  68       61       66       67       nan     51.8      0.360      2.023          18%            0          0.00       0.0000           0%
  69       59       68      nan        88     14.8      6.837     36.396          19%            4        336.35       0.0053           0%
  70      nan      nan      nan       nan    126.0      0.182      0.486          37%           10       1080.88       0.0171           9%
  71       70      nan      nan        73    177.7      0.234      0.577          41%            3        428.08       0.0068           3%
  72      nan      nan      nan       nan     32.9      0.241      0.350          69%           13       1756.73       0.0279          12%
  73       71       72      nan        75     52.8      0.542      0.820          66%            8        646.33       0.0103           2%
  74      nan      nan      nan       nan     46.2      0.080      0.168          48%           16       1173.47       0.0186          23%
  75       73       74      nan        78     15.4      0.731      0.962          76%           17       1615.82       0.0256           4%
  76      nan      nan      nan       nan     86.0      0.407      0.458          89%           21       2520.67       0.0400          10%
  77       76      nan      nan       nan     27.8      0.481      0.595          81%            7        768.34       0.0122           3%
  78       75       77      nan        80     27.7      1.258      1.290          98%           11        775.94       0.0123           1%
  79      nan      nan      nan       nan      5.0      0.066      0.107          62%           10        908.90       0.0144          22%
  80       78       79      nan        84     31.5      1.353      1.376          98%            7        550.61       0.0087           1%
  81      nan      nan      nan        83     20.1      0.088      0.581          15%           17       1449.05       0.0230          26%
  82      nan      nan      nan       nan     26.0      0.232      0.358          65%           21       2157.76       0.0342          15%
  83       81       82      nan       nan     40.2      0.357      1.782          20%            4        318.57       0.0051           1%
  84       80       83      nan        87     10.0      1.810      1.809         100%           14       1258.30       0.0200           1%
  86      nan      nan      nan       nan      7.9      0.068      0.122          56%           11       1130.53       0.0179          26%
  87       84       86      nan       nan     47.0      1.882      6.946          27%            3        305.85       0.0049           0%
  88       69       87      nan        92     11.0      8.598     15.104          57%            6        521.85       0.0083           0%
  89      nan      nan      nan        91     38.2      0.093      0.266          35%           12        622.35       0.0099          11%
  90      nan      nan      nan       nan     21.4      0.035      0.114          31%            9        633.84       0.0101          29%
  91       89       90      nan        92     34.7      0.136      0.763          18%            2        301.75       0.0048           4%
 154      nan      nan      nan       907     33.4      0.406      0.652          62%           25       2795.10       0.0443          11%
 155      nan      nan      nan       nan     12.3      0.026      0.152          17%            4        284.16       0.0045          17%
 907      154      155      nan       nan     17.3      0.449      0.584          77%            4        303.34       0.0048           1%
  92       88       91      907        99      9.2      9.136      9.384          97%           12        957.49       0.0152           0%
 902      nan      nan      nan       nan     26.1      0.224      0.358          63%           12       1123.70       0.0178           8%
  93      902      nan      nan        95     16.9      0.245      0.533          46%            1        144.44       0.0023           1%
  94      nan      nan      nan       nan     14.0      0.047      0.092          51%            7        567.25       0.0090          19%
  95       93       94      nan        97     22.8      0.304      0.619          49%            1         26.42       0.0004           0%
  96      nan      nan      nan       nan     40.9      0.067      0.138          49%            5        576.53       0.0091          14%
  97       95       96      nan        99     34.3      0.378      0.759          50%            1         81.42       0.0013           0%
  98      nan      nan      nan       nan     26.4      0.016      0.127          13%            1         74.99       0.0012           7%
  99       92       97       98       167      8.6      9.442     10.043          94%           19       1355.11       0.0215           0%
 108      nan      nan      nan       112     13.5      0.175      0.476          37%           10        768.54       0.0122           7%
 100      nan      nan      nan       102     74.2      0.269      1.116          24%           23       1947.32       0.0309          11%
 101      nan      nan      nan       nan     11.4      0.210      0.381          55%            4        199.57       0.0032           2%
 102      100      101      nan       104     22.8      0.479      0.619          77%            0          0.00       0.0000           0%
 103      nan      nan      nan       nan     15.3      0.077      0.274          28%           16        875.43       0.0139          18%
 104      102      103      nan       106     20.0      0.561      0.579          97%            1         87.89       0.0014           0%
 105      nan      nan      nan       nan     14.5      0.138      0.493          28%           11        772.31       0.0122           9%
 106      104      105      nan       nan     15.4      0.780      0.962          81%           15       1070.08       0.0170           2%
 107      106      nan      nan       903     20.9      0.789      1.025          77%            2         74.45       0.0012           0%
 109      nan      nan      nan       111     34.6      0.178      0.222          80%            3        195.31       0.0031           2%
 110      nan      nan      nan       nan     13.3      0.006      0.157           4%            1         43.73       0.0007          12%
 111      109      110      nan       nan     24.8      0.245      0.375          65%           16        875.66       0.0139           6%
 903      107      111      nan       nan     11.0      1.033      1.626          64%            0          0.00       0.0000           0%
 112      108      903      nan       nan     48.7      1.526      5.987          25%            0          0.00       0.0000           0%
 113      112      nan      nan       118     49.7      1.616      6.048          27%            3        265.53       0.0042           0%
 114      nan      nan      nan       nan     28.3      0.086      0.373          23%            0          0.00       0.0000           0%
 115      114      nan      nan       117     63.9      0.120      0.561          21%           11        825.07       0.0131          11%
 116      nan      nan      nan       nan     26.0      0.160      0.221          72%           24       2016.46       0.0320          20%
 117      115      116      nan       nan     17.2      0.285      0.291          98%            2         77.16       0.0012           0%
 118      113      117      nan       nan     13.2      1.904      4.140          46%            0          0.00       0.0000           0%
 120      118      nan      nan       nan     13.2      1.954      4.140          47%           18       1013.72       0.0161           1%
 122      120      nan      nan       124      9.7      2.047      3.735          55%           26       2033.33       0.0323           2%
 123      nan      nan      nan       nan      5.1      0.063      0.250          25%           18       1158.27       0.0184          29%
 124      122      123      nan       nan     21.6      2.110      3.524          60%            0          0.00       0.0000           0%
 125      124      nan      nan       144     15.4      2.112      2.369          89%            3        143.66       0.0023           0%
 126      nan      nan      nan       128     58.1      0.072      0.330          22%            1        177.68       0.0028           4%
 127      nan      nan      nan       nan     81.0      0.298      0.390          76%           17       2287.69       0.0363          12%
 128      126      127      nan       nan     63.2      0.401      0.485          83%            6        449.81       0.0071           2%
 130      128      nan      nan       132     35.6      0.461      0.674          68%            9        562.81       0.0089           2%
 131      nan      nan      nan       nan     38.0      0.166      0.232          72%           28       1479.33       0.0235          14%
 132      130      131      nan       nan     12.5      0.634      0.867          73%            3        208.56       0.0033           1%
 134      132      nan      nan       136      4.5      0.857      1.202          71%           15        867.82       0.0138           2%
 135      nan      nan      nan       nan     92.4      0.282      0.475          59%           57       4226.87       0.0670          24%
 136      134      135      nan       nan      4.5      1.139      1.214          94%            1         60.32       0.0010           0%
 138      136      nan      nan       142      4.5      1.186      1.214          98%           13        682.11       0.0108           1%
 139      nan      nan      nan       141    144.0      0.154      0.259          59%           16       1828.43       0.0290          19%
 140      nan      nan      nan       nan      7.1      0.037      0.066          56%            8        620.50       0.0098          27%
 141      139      140      nan       nan     30.3      0.213      0.336          63%            1         92.48       0.0015           1%
 142      138      141      nan       nan      4.5      1.416      1.662          85%            6        428.40       0.0068           0%
 143      142      nan      nan       nan      4.5      1.418      1.662          85%            3        142.67       0.0023           0%
 144      125      143      nan       nan     15.2      3.508      4.442          79%            0          0.00       0.0000           0%
 145      144      nan      nan       nan      8.1      3.644      3.211         113%           14        712.59       0.0113           0%
 146      145      nan      nan       nan     16.4      3.680      5.106          72%           14        689.78       0.0109           0%
 147      146      nan      nan       151     15.9      3.683      5.115          72%            2        186.75       0.0030           0%
 148      nan      nan      nan       nan     86.4      0.313      0.350          89%           33       2532.55       0.0402          13%
 149      148      nan      nan       151     13.5      0.625      0.967          65%           16       4215.61       0.0669          11%
 150      nan      nan      nan       nan     16.7      0.082      0.287          29%            7        887.32       0.0141          17%
 151      147      149      150       153     15.9      4.428      5.115          87%           29       2387.55       0.0379           1%
 152      nan      nan      nan       nan     14.8      0.078      0.095          82%           10       1040.45       0.0165          21%
 153      151      152      nan       167     15.9      4.496      5.115          88%            2         71.38       0.0011           0%
 156      nan      nan      nan       158      3.8      0.008      0.084          10%            4        175.22       0.0028          35%
 157      nan      nan      nan       nan     30.2      0.061      0.136          45%            9        875.16       0.0139          23%
 158      156      157      nan       160     21.7      0.102      0.202          50%            6        470.97       0.0075           7%
 159      nan      nan      nan       nan     11.6      0.100      0.147          68%           12       1267.33       0.0201          20%
 160      158      159      nan       162     17.1      0.234      0.358          65%            6        598.78       0.0095           4%
 161      nan      nan      nan       nan     41.4      0.074      0.139          53%           11        966.64       0.0153          21%
 162      160      161      nan       166     12.4      0.316      0.430          73%            3        148.78       0.0024           1%
 163      nan      nan      nan       165     15.1      0.042      0.084          50%            3        245.02       0.0039           9%
 164      nan      nan      nan       nan     11.2      0.018      0.427           4%            1        570.38       0.0090          50%
 165      163      164      nan       nan     15.0      0.095      0.494          19%            5        145.04       0.0023           2%
 166      162      165      nan       nan      3.5      0.421      1.070          39%            2        200.04       0.0032           1%
 167       99      153      166       169     -3.1     14.261      0.000         inf%            1         41.58       0.0007           0%
 168      nan      nan      nan       nan      5.8      0.100      0.210          48%           22       1526.21       0.0242          24%
 169      167      168      nan       172     -5.0     14.356      0.000         inf%            0          0.00       0.0000           0%
 170      nan      nan      nan       172      5.5      0.070      0.158          44%           10        517.03       0.0082          12%
 171      nan      nan      nan       nan     11.7      0.075      0.230          33%           17        965.40       0.0153          20%
 172      169      170      171       175      5.0     14.335     10.576         136%           19       1190.13       0.0189           0%
 173      nan      nan      nan       175     12.1      0.045      0.172          26%            8        568.78       0.0090          20%
 177      nan      nan      nan       nan     16.7      0.083      0.287          29%           15       1289.57       0.0205          25%
 179      177      nan      nan       nan     17.9      0.167      0.297          56%           14       1251.51       0.0199          12%
 181      179      nan      nan       183      4.0      0.274      0.490          56%           17       1596.25       0.0253           9%
 182      nan      nan      nan       nan      5.9      0.117      0.148          79%           26       1910.73       0.0303          26%
 183      181      182      nan       185      4.0      0.391      0.490          80%            0          0.00       0.0000           0%
 184      nan      nan      nan       nan      2.0      0.063      0.086          73%           18       1487.06       0.0236          37%
 185      183      184      nan       174      3.5      0.491      0.492         100%            7        671.06       0.0106           2%
 905      nan      nan      nan       nan     11.1      0.120      0.288          42%           10        743.33       0.0118          10%
 186      905      nan      nan       nan     19.4      0.260      0.381          68%           19       1470.37       0.0233           9%
 174      185      186      nan       nan      5.9      0.751      0.967          78%            5        323.49       0.0051           1%
 175      172      173      174       193      5.0     14.979     11.951         125%           23       2232.07       0.0354           0%
 187      nan      nan      nan       191      3.5      0.089      0.750          12%           19       1905.09       0.0302          34%
 188      nan      nan      nan       nan      1.7      0.041      0.056          73%            5        728.92       0.0116          28%
 190      188      nan      nan       nan      6.9      0.130      0.160          81%           12       1263.12       0.0200          15%
 191      187      190      nan       193     27.4      0.230      1.016          23%            0          0.00       0.0000           0%
 192      nan      nan      nan       nan     31.7      0.053      0.139          38%            7        673.13       0.0107          20%
 193      175      191      192       195      4.9     15.160     18.470          82%            6        545.56       0.0087           0%
 194      nan      nan      nan       nan     33.0      0.045      0.124          36%           16       1404.01       0.0223          49%
 195      193      194      nan       200      4.9     15.081     18.470          82%           18       2449.56       0.0389           0%
 196      nan      nan      nan       198     23.6      0.275      0.421          65%           60       4447.15       0.0705          26%
 197      nan      nan      nan       nan      2.0      0.019      0.122          16%            2        163.60       0.0026          14%
 198      196      197      nan       200     58.6      0.296      0.914          32%            2        107.86       0.0017           1%
 199      nan      nan      nan       nan     39.1      0.039      0.135          29%           16        784.45       0.0124          32%
 200      195      198      199       202      4.9     15.262     18.470          83%            6        452.85       0.0072           0%
 201      nan      nan      nan       nan     79.3      0.012      0.386           3%            6        316.80       0.0050          42%
 202      200      201      nan       206      6.3     15.156      9.798         155%           40       2780.22       0.0441           0%
 203      nan      nan      nan       nan      6.8      0.074      0.226          33%           25       1295.30       0.0205          28%
 204      203      nan      nan       206      6.5      0.092      0.110          84%            3        241.52       0.0038           4%
 205      nan      nan      nan       nan     27.4      0.039      0.129          30%            7        460.50       0.0073          19%
 206      202      204      205       208      5.0     15.153     29.563          51%           11        437.31       0.0069           0%
 207      nan      nan      nan       nan     38.9      0.129      0.270          48%           26       1601.92       0.0254          20%
 208      206      207      nan       nan      5.1     15.235     29.857          51%            0          0.00       0.0000           0%
 209      208      nan      nan       218     13.8     15.227     33.802          45%            4        775.45       0.0123           0%
 215      nan      nan      nan       nan      5.3      0.018      0.100          18%            2        244.10       0.0039          22%
 216      215      nan      nan       218      2.5      0.043      0.111          39%            5        384.66       0.0061          14%
 217      nan      nan      nan       nan     15.6      0.059      0.171          35%            8        961.45       0.0152          26%
 218      209      216      217       221     19.8     15.307     40.489          38%            2        218.71       0.0035           0%
 219      nan      nan      nan       221      8.5      0.021      0.126          17%            0          0.00       0.0000           0%
 220      nan      nan      nan       nan     13.6      0.006      0.298           2%            2         56.82       0.0009          15%
 221      218      219      220       223      5.1     15.240     20.549          74%           12        955.42       0.0152           0%
 222      nan      nan      nan       nan      8.5      0.018      0.126          14%            5        244.60       0.0039          22%
 223      221      222      nan       228     14.9     15.239     35.124          43%            0          0.00       0.0000           0%
 225      nan      nan      nan       227      9.2      0.049      0.131          37%            7        412.13       0.0065          13%
 226      nan      nan      nan       nan     10.2      0.082      0.120          68%           14       1411.52       0.0224          27%
 227      225      226      nan       nan     11.0      0.148      0.202          73%            5        329.44       0.0052           4%
 228      223      227      nan       nan     21.5     15.373     42.191          36%            2        207.51       0.0033           0%
